movie_ID,genre_1,genre_2,genre_3
tt0892077,Fantasy,,
tt0892318,Adventure,Comedy,Drama
tt0892769,Action,Adventure,Animation
tt0892791,Adventure,Animation,Comedy
tt0893310,Drama,Mystery,Thriller
tt0893412,Comedy,Drama,Romance
tt0896872,Action,Biography,Crime
tt0899145,Drama,,
tt0899154,Crime,Drama,Thriller
tt0900387,Drama,Romance,War
tt0901504,Horror,Mystery,Thriller
tt0902247,Crime,Drama,Thriller
tt0903036,Action,Crime,Thriller
tt0903624,Adventure,Family,Fantasy
tt0903657,Biography,Drama,Music
tt0905372,Horror,Mystery,Sci-Fi
tt0906013,Crime,Thriller,
tt0906327,Comedy,,
tt0906778,Biography,Drama,
tt0907305,Adventure,Drama,Horror
tt0907731,Drama,Thriller,
tt0907852,Drama,Mystery,Thriller
tt0910885,Comedy,,
tt0910926,Comedy,Romance,
tt0914823,Action,Thriller,
tt0914852,Horror,,
tt0914863,Crime,Drama,Thriller
tt0915463,Animation,Comedy,Sci-Fi
tt0918520,Drama,Thriller,
tt0918553,Drama,,
tt0918575,Horror,Thriller,
tt0918940,Action,Adventure,Drama
tt0920459,Comedy,Drama,Romance
tt0923653,Action,Horror,Sci-Fi
tt0923954,Drama,Mystery,Thriller
tt0924266,Comedy,,
tt0926084,Adventure,Fantasy,Mystery
tt0926132,Action,Adventure,Horror
tt0926170,Drama,Family,
tt0929618,Comedy,,
tt0929742,Action,,
tt0932667,Drama,,
tt0933876,Horror,Mystery,Thriller
tt0934446,Drama,Sci-Fi,
tt0934981,Action,Crime,Drama
tt0935075,Drama,,
tt0937225,Comedy,,
tt0937353,Mystery,Romance,
tt0938283,Action,Adventure,Family
tt0938305,Comedy,Crime,Thriller
tt0938330,Horror,,
tt0940656,Adventure,Animation,Family
tt0942906,Drama,Thriller,
tt0944835,Action,Mystery,Thriller
tt0945513,Action,Drama,Sci-Fi
tt0947798,Drama,Thriller,
tt0947810,Action,Drama,Thriller
tt0948470,Action,Adventure,Sci-Fi
tt0949872,Drama,,
tt0954947,Crime,Drama,Horror
tt0955308,Action,Adventure,Drama
tt0959306,Comedy,Crime,Drama
tt0959329,Crime,Drama,Horror
tt0960067,Drama,,
tt0960727,Drama,,
tt0960730,Documentary,,
tt0960827,Action,Comedy,Crime
tt0960864,Documentary,,
tt0961036,Drama,,
tt0961097,Adventure,Animation,Comedy
tt0961725,Horror,,
tt0961755,Comedy,,
tt0962764,Drama,,
tt0963177,Comedy,,
tt0963292,Crime,Documentary,
tt0963966,Action,Adventure,Family
tt0964517,Biography,Drama,Sport
tt0964544,Comedy,,
tt0965424,Documentary,,
tt0965425,Documentary,,
tt0965429,Comedy,Romance,
tt0968264,Crime,Drama,History
tt0969332,Animation,Comedy,Family
tt0969345,Animation,Crime,Music
tt0969653,Action,Mystery,Sci-Fi
tt0970179,Adventure,Drama,Family
tt0970866,Comedy,Romance,
tt0970926,Comedy,Drama,
tt0970955,Drama,Fantasy,History
