movie_ID,production_budget,gross_income,net_income,cost_income_ratio
tt7137380,9000000,3681096,-5318904,2.4449240117617146
tt1314655,10000000,63354114,53354114,0.15784294607923963
tt2752758,7000000,36146087,29146087,0.19365858329284716
tt1833673,24000000,11723620,-12276380,2.0471492593584575
tt1196141,15000000,76954311,61954311,0.19492085375178006
tt2023453,22000000,77229695,55229695,0.28486452005281127
tt1650043,18000000,73695194,55695194,0.2442493061352142
tt6003368,22000000,35609577,13609577,0.6178113264305274
tt0427152,69000000,86796502,17796502,0.7949629122150568
tt1860213,11500000,105078449,93578449,0.10944204172636769
tt1840309,85000000,276014965,191014965,0.30795431689727404
tt1853728,100000000,449948323,349948323,0.22224774465933503
tt4056738,2300000,14304931,12004931,0.16078371856529752
tt1211837,165000000,676404566,511404566,0.2439368512482809
tt1564349,37000000,96068724,59068724,0.3851409538863033
tt2978462,36000000,57824533,21824533,0.6225731213428044
tt2229499,5500000,41268579,35768579,0.1332733070358444
tt3850214,7000000,18190831,11190831,0.3848092481316549
tt1389072,68000000,54462971,-13537029,1.248554729047007
tt0829150,70000000,220241723,150241723,0.31783260249920947
tt2223990,25000000,29847480,4847480,0.837591649278264
tt1462041,50000000,41642166,-8357834,1.2007060343595
tt1343727,45000000,41467606,-3532394,1.0851844208223644
tt2265398,500000,407100,-92900,1.2281994595922379
tt0780504,15000000,81357930,66357930,0.18437047255258338
tt1502404,50000000,41042583,-8957417,1.2182469119938186
tt1950135,600000,3301,-596699,181.76310209027568
tt1231583,65000000,211739043,146739043,0.30698164627106583
tt1618430,5200000,11633427,6433427,0.4469878050552086
tt2096672,40000000,156553592,116553592,0.255503559445637
tt3861390,170000000,345004422,175004422,0.492747307453352
tt5013056,150000000,499837368,349837368,0.3000976109493278
tt1274586,5000000,74639,-4925361,66.98910757110893
tt4701724,50000000,45285890,-4714110,1.1040966623378716
tt2183034,13000000,42174545,29174545,0.3082428038049966
tt1282140,8000000,76200721,68200721,0.10498588327005462
tt0879870,60000000,206598789,146598789,0.29041796561547123
tt1226273,60000000,82812456,22812456,0.7245286868439211
tt1631867,178000000,370541256,192541256,0.4803783576531084
tt7014006,2000000,14341016,12341016,0.1394601330895942
tt2113659,10000000,197901,-9802099,50.53031566288195
tt1535108,120000000,286192091,166192091,0.4192987988616359
tt4393036,27000,3547,-23453,7.612066535100085
tt1855199,15000000,57586606,42586606,0.2604772366685406
tt1731141,110000000,127983283,17983283,0.8594872503778481
tt2318092,20000000,34718173,14718173,0.5760671795719204
tt2390361,8000000,25621449,17621449,0.3122383905765829
tt1674771,30000000,46438538,16438538,0.6460151695559408
tt0848537,100000000,262794441,162794441,0.38052555305003577
tt1211956,70000000,103735965,33735965,0.674790078831387
tt2187884,650000,171962,-478038,3.779904862702225
