movie_ID,average_rating
tt1231586,5.9
tt3521306,6.9
tt3667610,7.0
tt1987018,6.2
tt2243537,5.5
tt2828996,5.5
tt1813609,4.4
tt3268790,4.2
tt2216240,6.9
tt2980210,5.9
tt1617620,5.2
tt6884200,6.2
tt2726552,5.4
tt1226240,6.9
tt1979172,6.8
tt1440161,6.3
tt2276480,6.1
tt1319722,5.3
tt1422136,6.1
tt0458413,6.2
tt2609758,6.3
tt6776462,6.3
tt1447479,6.2
tt2587914,4.9
tt4286432,5.0
tt0910885,5.0
tt2557490,5.8
tt3416532,7.1
tt3416532,7.1
tt0961097,6.6
tt2937898,6.6
tt2937898,6.6
tt1972571,6.5
tt1572008,5.0
tt1179056,5.5
tt1823059,6.3
tt2275471,4.7
tt1883180,6.9
tt2368254,6.8
tt6054650,7.3
tt6644200,7.3
tt1817276,3.9
tt3302078,6.3
tt3302078,6.3
tt1276419,7.4
tt1837562,6.5
tt1639901,6.1
tt5226380,6.7
tt1832382,7.9
tt7040874,6.6
tt1540741,5.8
tt1386683,6.3
tt1517451,7.5
tt3823116,5.3
tt3606888,7.5
tt3606888,7.5
tt3543258,6.5
tt2511190,2.4
tt2201548,4.7
tt0763831,6.1
tt2852400,7.3
tt2320073,4.0
tt0365907,6.3
tt1178665,5.9
tt1341340,5.2
tt5814408,5.9
tt6494344,5.5
tt3560704,5.4
tt1620680,5.0
tt4357170,6.7
tt5709188,5.7
tt1311060,5.5
tt3823672,5.4
tt2926810,5.2
tt5647758,4.1
tt5640450,6.1
tt1603257,5.1
tt7261172,5.5
tt7261172,5.5
tt2048865,3.8
tt6109124,5.5
tt1480285,4.5
tt3444312,6.3
tt3444312,6.3
tt1600195,5.8
tt2447982,5.8
tt2667918,6.5
tt1945062,4.4
tt1826590,6.0
tt2194499,7.9
tt1611224,5.6
tt2736254,3.6
tt1796406,6.4
tt1610996,5.9
tt7501544,5.9
tt2179226,4.9
tt1727770,5.7
tt1727770,5.7
tt2112096,5.4
tt3442634,4.7
tt3503840,4.7
tt2418372,4.9
tt6237612,4.9
tt5390430,7.9
tt1137470,4.0
tt4742556,6.1
tt6063050,6.6
tt1591479,6.3
tt6495770,5.2
tt6684714,6.0
tt2205401,5.3
tt3435418,5.3
tt4000870,5.4
tt5039822,4.9
tt1814621,5.5
tt2103267,6.1
tt6306064,6.7
tt4211044,6.2
tt1067765,6.2
tt3090670,6.0
tt1621432,5.3
tt4559006,6.2
tt1906384,4.9
tt1223236,7.1
tt1799508,5.7
tt2404163,5.7
tt1815862,5.1
tt6688022,6.6
tt2797190,2.6
tt1291547,5.3
tt5168832,5.1
tt7681970,5.6
tt2430104,7.7
tt2226630,6.0
tt2815966,5.2
tt2710826,4.2
tt5186236,6.6
tt2209300,4.6
tt2584642,4.6
tt4581576,5.5
tt2312890,5.8
tt2557276,6.8
tt2518926,4.0
tt1590950,5.6
tt2054790,6.1
tt1594917,4.1
tt6798422,7.5
tt1519245,5.0
tt3470656,4.4
tt1845773,7.2
tt2388637,6.2
tt2091478,4.8
tt4743226,3.9
tt1509732,4.9
tt1740070,4.9
tt6774212,5.5
tt3544014,6.3
tt1602098,6.3
tt4518260,6.0
tt4518260,6.0
tt8179218,7.3
tt1712170,5.1
tt5688996,6.6
tt1698641,6.2
tt3293462,4.9
tt4072326,7.0
tt2567026,6.5
tt1753422,2.4
tt1014759,6.6
tt2049386,6.6
tt2510434,4.9
tt1910498,2.1
tt2275499,2.4
tt4279116,4.7
tt1592503,4.3
tt2316204,5.9
tt1854506,2.4
tt2593392,7.7
tt1307858,5.6
tt7542576,6.5
tt2312184,6.0
tt3820450,4.7
tt2110388,4.4
tt2527186,5.1
tt1666185,6.4
tt4247682,3.4
tt1175709,6.0
tt2900624,4.9
tt5022680,4.6
tt3210602,4.8
tt1492705,5.4
tt1462901,5.3
tt2017038,6.6
tt6023386,6.1
tt4662420,5.7
tt3214248,5.7
tt4663548,6.1
tt2186766,5.5
tt2370230,6.7
tt1587877,6.4
tt1594906,6.4
tt1718720,6.4
tt5146068,6.6
tt1606390,5.6
tt4278962,4.6
tt3910814,5.6
tt6012244,5.1
tt5294550,6.4
tt5294550,6.4
