movie_ID,average_rating
tt1740056,5.5
tt1740117,8.7
tt1740539,1.9
tt1740684,6.1
tt1745959,4.9
tt1753471,5.6
tt1753584,5.3
tt1753602,7.8
tt1753780,7.8
tt1754649,5.5
tt1754750,4.8
tt1758611,8.7
tt1758741,6.4
tt1758842,5.6
tt1759727,7.3
tt1763217,6.3
tt1764311,5.9
tt1766009,5.4
tt1766044,7.0
tt1773607,7.7
tt1776201,5.3
tt1779471,7.8
tt1780934,7.8
tt1782562,6.7
tt1783311,6.1
tt1783377,7.0
tt1783384,6.8
tt1783392,5.0
tt1783393,7.0
tt1786411,6.9
tt1786652,8.0
tt1787047,5.8
tt1787741,4.2
tt1787777,6.9
tt1789077,6.5
tt1791681,3.9
tt1792647,6.8
tt1792801,5.9
tt1793223,5.6
tt1796580,7.5
tt1796652,7.5
tt1797449,6.1
tt1798162,6.3
tt1798164,5.4
tt1802827,8.9
tt1808197,6.5
tt1808208,4.0
tt1810756,4.4
tt1814768,7.6
tt1815707,6.9
tt1815836,6.9
tt1817711,6.3
tt0758752,6.7
tt0775461,5.4
tt0800054,7.8
tt0816362,6.7
tt0825282,6.5
tt0960864,7.0
tt0979434,5.0
tt0985694,6.6
tt10062286,5.9
tt10243678,6.5
tt10254986,7.0
tt6494520,4.3
tt6500762,6.0
tt6505826,5.5
tt6506146,5.0
tt6522546,6.8
tt6523386,6.9
tt6547822,3.7
tt6555772,5.8
tt6558114,4.8
tt6579530,4.8
tt6582734,6.4
tt6589292,6.0
tt6590978,8.0
tt6594022,3.9
tt6594148,5.4
tt6599256,8.3
tt6612178,7.9
tt6634906,7.6
tt6677500,4.5
tt6679412,6.2
tt6688136,5.9
tt6704014,6.6
tt6705988,8.1
tt6710772,7.4
tt6712026,7.1
tt6720674,6.5
tt6725484,7.1
tt6731592,7.9
tt6737494,8.9
tt6742252,7.5
tt6745192,6.8
tt6749456,8.9
tt6750506,5.9
tt6751046,7.6
tt6764122,7.1
tt6769280,5.7
tt6778706,7.9
tt6780706,9.4
tt6808782,5.9
tt6828530,6.3
tt6850078,9.2
tt6854248,6.6
tt6857040,4.6
tt6858020,6.1
tt6866652,3.3
tt6888762,7.9
tt6892088,7.8
tt6910380,7.5
tt6920930,4.6
tt6922138,9.2
tt6925204,5.4
tt6947800,6.9
tt6955130,6.1
tt6998228,5.9
tt7004152,7.0
tt7012864,6.3
tt7021436,7.3
tt7024660,8.1
tt7026270,8.1
tt7027278,6.0
tt7030048,5.2
tt7056470,6.8
tt7063474,7.9
tt7076838,5.6
tt7089878,7.2
tt7093188,8.2
tt7108862,3.7
tt7112166,5.4
tt7122516,7.5
tt7134214,7.5
tt7142712,7.1
tt7149066,6.5
tt7158582,7.4
tt7158686,5.1
tt7164084,6.9
tt7166214,6.8
tt7185492,3.7
tt7205630,6.0
tt7208564,5.3
tt7211010,7.6
tt7217128,5.7
tt7223050,5.6
tt7225716,4.0
tt7239688,7.3
tt7254768,7.0
tt7256866,5.2
tt7259100,5.1
tt7262052,6.6
tt7275980,5.1
tt7290740,6.3
tt7293844,7.2
tt7293920,6.8
tt7298028,9.1
tt7305634,7.9
